Field,ID,Type (Type),default,en,ar,be,bg,ca,cs,da,de,el,es,eu,fa,fr,gl,hr,hu,hy,id,it,ja,ka,ko,lt,nl,pl,pt,pt-br,ro,ru,sk,sq,sv,th,tr,uk,zh-cn,zh-hk,zh-tw
Description,2,Text,,"See detailed information about various media files in a modern fashion.

FluentInfo is a GUI for the MediaInfo library that integrates well with the modern Windows desktop.

This app is open-source: https://github.com/ubuntuegor/FluentInfo","اطّلع على معلومات تفصيلية حول ملفات وسائط متعددة بطريقة عصرية.

FluentInfo هي واجهة رسومية لمكتبة MediaInfo تتكامل بشكل جيد مع سطح مكتب Windows الحديث.

هذا التطبيق مفتوح المصدر: https://github.com/ubuntuegor/FluentInfo","Праглядзіце падрабязную інфармацыю пра розныя медыяфайлы ў сучасным стылі.

FluentInfo — гэта графічны інтэрфейс для бібліятэкі MediaInfo, які добра інтэгруецца з сучасным працоўным сталом Windows.

Гэта праграма з адкрытым зыходным кодам: https://github.com/ubuntuegor/FluentInfo","Вижте подробна информация за различни медийни файлове по модерен начин.

FluentInfo е GUI за библиотеката MediaInfo, която се интегрира добре с модерния работен плот на Windows.

Това приложение е с отворен код: https://github.com/ubuntuegor/FluentInfo","Vegeu informació detallada de diversos fitxers multimèdia d’una manera moderna.

FluentInfo és una GUI per a la biblioteca MediaInfo que s’integra bé amb l’escriptori modern de Windows.

Aquesta aplicació és de codi obert: https://github.com/ubuntuegor/FluentInfo","Zobrazte si podrobné informace o různých mediálních souborech moderním způsobem.

FluentInfo je GUI pro knihovnu MediaInfo, které se dobře integruje do moderního prostředí Windows.

Tato aplikace je open source: https://github.com/ubuntuegor/FluentInfo","Se detaljerede oplysninger om forskellige mediefiler på en moderne måde.

FluentInfo er en GUI til MediaInfo-biblioteket, der integrerer godt med det moderne Windows-skrivebord.

Denne app er open source: https://github.com/ubuntuegor/FluentInfo","Detaillierte Informationen zu verschiedenen Mediendateien im modernen Stil anzeigen.

FluentInfo ist eine GUI für die MediaInfo-Bibliothek und integriert sich gut in den modernen Windows-Desktop.

Diese App ist Open Source: https://github.com/ubuntuegor/FluentInfo","Δείτε λεπτομερείς πληροφορίες για διάφορα αρχεία πολυμέσων με σύγχρονο τρόπο.

Το FluentInfo είναι ένα GUI για τη βιβλιοθήκη MediaInfo που ενσωματώνεται άψογα στη σύγχρονη επιφάνεια εργασίας των Windows.

Αυτή η εφαρμογή είναι ανοιχτού κώδικα: https://github.com/ubuntuegor/FluentInfo","Vea información detallada sobre varios archivos multimedia de forma moderna.

FluentInfo es una interfaz gráfica para la biblioteca MediaInfo que se integra bien con el escritorio moderno de Windows.

Esta aplicación es de código abierto: https://github.com/ubuntuegor/FluentInfo","Ikusi hainbat multimedia-fitxategiren informazio zehatza, modu modernoan.

FluentInfo MediaInfo liburutegirako GUI bat da, eta Windows mahaigain modernoarekin ondo integratzen da.

Aplikazio hau kode irekikoa da: https://github.com/ubuntuegor/FluentInfo","اطلاعات دقیق انواع فایل‌های رسانه‌ای را با ظاهری مدرن ببینید.

FluentInfo یک رابط کاربری گرافیکی برای کتابخانهٔ MediaInfo است که با دسکتاپ مدرن ویندوز به‌خوبی یکپارچه می‌شود.

این برنامه متن‌باز است: https://github.com/ubuntuegor/FluentInfo","Affichez des informations détaillées sur divers fichiers multimédias dans une interface moderne.

FluentInfo est une interface graphique pour la bibliothèque MediaInfo qui s’intègre parfaitement au bureau Windows moderne.

Cette application est open source : https://github.com/ubuntuegor/FluentInfo","Consulta información detallada de varios ficheiros multimedia cun estilo moderno.

FluentInfo é unha interface gráfica para a biblioteca MediaInfo que se integra ben co escritorio moderno de Windows.

Esta aplicación é de código aberto: https://github.com/ubuntuegor/FluentInfo","Pogledajte detaljne informacije o raznim medijskim datotekama na moderan način.

FluentInfo je GUI za biblioteku MediaInfo koji se dobro uklapa u moderno Windows radno okruženje.

Ova je aplikacija otvorenog koda: https://github.com/ubuntuegor/FluentInfo","Tekintse meg különféle médiafájlok részletes adatait modern módon.

A FluentInfo a MediaInfo könyvtár grafikus felülete, amely jól illeszkedik a modern Windows asztali környezetbe.

Ez az alkalmazás nyílt forráskódú: https://github.com/ubuntuegor/FluentInfo","Դիտեք տարբեր մեդիա ֆայլերի մանրամասն տեղեկություն՝ ժամանակակից ոճով։

FluentInfo-ը MediaInfo գրադարանի GUI է, որը լավ է ինտեգրվում ժամանակակից Windows աշխատասեղանի հետ։

Այս հավելվածը բաց կոդով է՝ https://github.com/ubuntuegor/FluentInfo","Lihat informasi terperinci tentang berbagai file media dengan tampilan modern.

FluentInfo adalah GUI untuk pustaka MediaInfo yang terintegrasi dengan baik dengan desktop Windows modern.

Aplikasi ini bersifat sumber terbuka: https://github.com/ubuntuegor/FluentInfo","Vedi informazioni dettagliate su vari file multimediali in stile moderno.

FluentInfo è una GUI per la libreria MediaInfo che si integra bene con il moderno desktop di Windows.

Questa app è open source: https://github.com/ubuntuegor/FluentInfo","さまざまなメディア ファイルの詳細情報を、モダンな表示で確認できます。

FluentInfo は MediaInfo ライブラリの GUI で、モダンな Windows デスクトップに自然に統合されます。

このアプリはオープンソースです: https://github.com/ubuntuegor/FluentInfo","იხილეთ სხვადასხვა მედია ფაილის დეტალური ინფორმაცია თანამედროვე სტილში.

FluentInfo არის MediaInfo ბიბლიოთეკის GUI, რომელიც კარგად ინტეგრირდება თანამედროვე Windows დესკტოპთან.

ეს აპი არის open-source: https://github.com/ubuntuegor/FluentInfo","다양한 미디어 파일의 자세한 정보를 현대적인 방식으로 확인하세요.

FluentInfo는 최신 Windows 데스크톱과 잘 통합되는 MediaInfo 라이브러리용 GUI입니다.

이 앱은 오픈 소스입니다: https://github.com/ubuntuegor/FluentInfo","Peržiūrėkite išsamią įvairių medijos failų informaciją šiuolaikiškai.

FluentInfo yra MediaInfo bibliotekos grafinė sąsaja, gerai integruota į šiuolaikinę Windows darbalaukio aplinką.

Ši programa yra atvirojo kodo: https://github.com/ubuntuegor/FluentInfo","Bekijk gedetailleerde informatie over verschillende mediabestanden in een moderne stijl.

FluentInfo is een GUI voor de MediaInfo-bibliotheek die goed integreert met het moderne Windows-bureaublad.

Deze app is open-source: https://github.com/ubuntuegor/FluentInfo","Zobacz szczegółowe informacje o różnych plikach multimedialnych w nowoczesnej formie.

FluentInfo to GUI dla biblioteki MediaInfo, które dobrze integruje się z nowoczesnym pulpitem Windows.

Ta aplikacja jest open source: https://github.com/ubuntuegor/FluentInfo","Veja informações detalhadas sobre vários ficheiros multimédia de forma moderna.

O FluentInfo é uma interface gráfica para a biblioteca MediaInfo que se integra bem no ambiente de trabalho moderno do Windows.

Esta aplicação é de código aberto: https://github.com/ubuntuegor/FluentInfo","Veja informações detalhadas sobre vários arquivos de mídia de forma moderna.

O FluentInfo é uma interface gráfica para a biblioteca MediaInfo que se integra bem à área de trabalho moderna do Windows.

Este aplicativo é de código aberto: https://github.com/ubuntuegor/FluentInfo","Vedeți informații detaliate despre diverse fișiere media, într-un stil modern.

FluentInfo este o interfață GUI pentru biblioteca MediaInfo, care se integrează bine cu desktopul modern Windows.

Această aplicație este open-source: https://github.com/ubuntuegor/FluentInfo","Просматривайте подробные сведения о различных медиафайлах в современном стиле.

FluentInfo — графическая оболочка для библиотеки MediaInfo, хорошо интегрированная с современным рабочим столом Windows.

Это приложение с открытым исходным кодом: https://github.com/ubuntuegor/FluentInfo","Zobrazte podrobné informácie o rôznych mediálnych súboroch moderným spôsobom.

FluentInfo je GUI pre knižnicu MediaInfo, ktoré sa dobre integruje do moderného prostredia Windows.

Táto aplikácia je open-source: https://github.com/ubuntuegor/FluentInfo","Shikoni informacion të detajuar për skedarë të ndryshëm media në mënyrë moderne.

FluentInfo është një GUI për bibliotekën MediaInfo që integrohet mirë me desktopin modern të Windows.

Ky aplikacion është me burim të hapur: https://github.com/ubuntuegor/FluentInfo","Se detaljerad information om olika mediafiler på ett modernt sätt.

FluentInfo är ett GUI för biblioteket MediaInfo som integreras väl med det moderna Windows-skrivbordet.

Den här appen är öppen källkod: https://github.com/ubuntuegor/FluentInfo","ดูข้อมูลโดยละเอียดของไฟล์สื่อต่างๆ ในรูปแบบทันสมัย

FluentInfo คือ GUI สำหรับไลบรารี MediaInfo ที่ผสานการทำงานได้ดีกับเดสก์ท็อป Windows รุ่นใหม่

แอปนี้เป็นโอเพนซอร์ส: https://github.com/ubuntuegor/FluentInfo","Çeşitli medya dosyaları hakkında ayrıntılı bilgileri modern bir şekilde görüntüleyin.

FluentInfo, modern Windows masaüstüyle iyi tümleşen MediaInfo kitaplığı için bir GUI’dir.

Bu uygulama açık kaynaklıdır: https://github.com/ubuntuegor/FluentInfo","Переглядайте докладну інформацію про різні медіафайли в сучасному стилі.

FluentInfo — це GUI для бібліотеки MediaInfo, який добре інтегрується із сучасним робочим столом Windows.

Ця програма має відкритий код: https://github.com/ubuntuegor/FluentInfo","以现代方式查看各种媒体文件的详细信息。

FluentInfo 是 MediaInfo 库的图形界面 (GUI)，可与现代 Windows 桌面良好集成。

此应用为开源项目：https://github.com/ubuntuegor/FluentInfo","以現代化方式查看各種媒體檔案的詳細資訊。

FluentInfo 係 MediaInfo 程式庫嘅 GUI，可與現代 Windows 桌面良好整合。

此應用程式係開放原始碼：https://github.com/ubuntuegor/FluentInfo","以現代化方式檢視各種媒體檔案的詳細資訊。

FluentInfo 是 MediaInfo 程式庫的 GUI，並可與現代 Windows 桌面良好整合。

此應用程式為開放原始碼：https://github.com/ubuntuegor/FluentInfo"
ReleaseNotes,3,Text,,"• Updated MediaInfo to 26.01
• Added support for many languages","• تم تحديث MediaInfo إلى 26.01
• تمت إضافة دعم للعديد من اللغات","• Абноўлена MediaInfo да 26.01
• Дададзена падтрымка многіх моў","• MediaInfo е обновен до 26.01
• Добавена е поддръжка за много езици","• S'ha actualitzat MediaInfo a la 26.01
• S'ha afegit compatibilitat amb molts idiomes","• Aktualizován MediaInfo na 26.01
• Přidána podpora mnoha jazyků","• Opdaterede MediaInfo til 26.01
• Tilføjede understøttelse af mange sprog","• MediaInfo auf 26.01 aktualisiert
• Unterstützung für viele Sprachen hinzugefügt","• Ενημερώθηκε το MediaInfo σε 26.01
• Προστέθηκε υποστήριξη για πολλές γλώσσες","• MediaInfo actualizado a 26.01
• Se añadió compatibilidad con muchos idiomas","• MediaInfo 26.01era eguneratu da
• Hizkuntza askorentzako laguntza gehitu da","• MediaInfo به 26.01 به‌روزرسانی شد
• پشتیبانی از زبان‌های متعدد افزوده شد","• MediaInfo mis à jour vers 26.01
• Ajout de la prise en charge de nombreuses langues","• MediaInfo actualizado a 26.01
• Engadiuse compatibilidade con moitos idiomas","• Ažuriran MediaInfo na 26.01
• Dodana podrška za mnoge jezike","• A MediaInfo frissítve 26.01 verzióra
• Sok nyelv támogatása hozzáadva","• Թարմացվեց MediaInfo-ը՝ 26.01
• Ավելացվեց բազմաթիվ լեզուների աջակցություն","• MediaInfo diperbarui ke 26.01
• Menambahkan dukungan untuk banyak bahasa","• MediaInfo aggiornato alla 26.01
• Aggiunto supporto per molte lingue","• MediaInfo を 26.01 に更新
• 多くの言語に対応","• MediaInfo განახლდა 26.01-მდე
• დაემატა მრავალი ენის მხარდაჭერა","• MediaInfo를 26.01로 업데이트
• 여러 언어 지원 추가","• Atnaujinta MediaInfo į 26.01
• Pridėtas daugelio kalbų palaikymas","• MediaInfo bijgewerkt naar 26.01
• Ondersteuning voor veel talen toegevoegd","• Zaktualizowano MediaInfo do 26.01
• Dodano obsługę wielu języków","• MediaInfo atualizado para 26.01
• Suporte adicionado para muitos idiomas","• MediaInfo atualizado para 26.01
• Adicionado suporte a vários idiomas","• MediaInfo actualizat la 26.01
• Suport adăugat pentru multe limbi","• Обновлён MediaInfo до 26.01
• Добавлена поддержка многих языков","• Aktualizovaný MediaInfo na 26.01
• Pridaná podpora pre mnohé jazyky","• MediaInfo u përditësua në 26.01
• U shtua mbështetje për shumë gjuhë","• Uppdaterade MediaInfo till 26.01
• Lade till stöd för många språk","• อัปเดต MediaInfo เป็น 26.01
• เพิ่มการรองรับหลายภาษา","• MediaInfo 26.01’e güncellendi
• Birçok dil için destek eklendi","• Оновлено MediaInfo до 26.01
• Додано підтримку багатьох мов","• 已将 MediaInfo 更新至 26.01
• 已添加多种语言支持","• 已更新 MediaInfo 至 26.01
• 新增對多種語言嘅支援","• 已更新 MediaInfo 至 26.01
• 已新增多種語言支援"
Title,4,Text,,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo,FluentInfo
ShortTitle,5,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SortTitle,6,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VoiceTitle,7,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShortDescription,8,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DevStudio,9,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CopyrightTrademarkInformation,12,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdditionalLicenseTerms,13,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926137/listingassets/3019282823112565288,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926329/listingassets/3049108820602601501,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926301/listingassets/3033197379213353068,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926303/listingassets/3055407528070114863,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926305/listingassets/3051736846149802411,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926307/listingassets/3008151810626542352,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926309/listingassets/3037161856903142041,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926311/listingassets/3024578885398540612,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926313/listingassets/3049979774557214095,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926315/listingassets/3031422632701096908,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926317/listingassets/3005908889814088684,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926319/listingassets/3070004236058588322,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926321/listingassets/3035956724330571588,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926323/listingassets/3036298457788228603,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926325/listingassets/3044316306404741588,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926327/listingassets/3040630474553701466,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926359/listingassets/3056538228247552894,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926357/listingassets/3045843018631883662,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926355/listingassets/3010253814277390293,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926353/listingassets/3015449762791404953,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926330/listingassets/3064645985555435841,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926332/listingassets/3062786625481362251,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926334/listingassets/3030483286710629566,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926336/listingassets/3004110964880682736,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926338/listingassets/3042363296842382063,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926340/listingassets/3009126266330114069,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926342/listingassets/3027469296604769510,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926344/listingassets/3047932002880336302,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926346/listingassets/3052391846335569494,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926348/listingassets/3063516280563003024,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926350/listingassets/3002165824778309883,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926389/listingassets/3030247538718760772,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926387/listingassets/3063413974919230658,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926385/listingassets/3057897567403598192,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926383/listingassets/3025518060557925312,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926381/listingassets/3001072210745631989,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926379/listingassets/3054988731794191449,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926377/listingassets/3041897262157245199
