Field,ID,Type (Type),default,en,ar,be,bg,ca,cs,da,de,el,es,eu,fa,fr,gl,hr,hu,hy,id,it,ja,ka,ko,lt,nl,pl,pt,pt-br,ro,ru,sk,sq,sv,th,tr,uk,zh-cn,zh-hk,zh-tw
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926137/listingassets/3067863739831325311,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926329/listingassets/3012806158191318743,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926301/listingassets/3029465929476058570,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926303/listingassets/3065415827506932032,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926305/listingassets/3032175573772407868,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926307/listingassets/3011487038774959422,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926309/listingassets/3030823845589872740,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926311/listingassets/3001806581344573414,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926313/listingassets/3030050920489940098,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926315/listingassets/3069431199424528451,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926317/listingassets/3056395451316909505,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926319/listingassets/3007993922660972392,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926321/listingassets/3062767111660399453,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926323/listingassets/3051072078333635156,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926325/listingassets/3015694279632070086,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926327/listingassets/3028307686019880768,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926359/listingassets/3039814607066656021,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926357/listingassets/3025409863914966430,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926355/listingassets/3002941184016270664,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926353/listingassets/3051891717057979236,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926330/listingassets/3031856410785318456,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926332/listingassets/3054499033153348838,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926334/listingassets/3058359506624171251,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926336/listingassets/3007658148389699012,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926338/listingassets/3023613559662082300,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926340/listingassets/3032497504215077311,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926342/listingassets/3018315279459055821,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926344/listingassets/3058552814914006023,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926346/listingassets/3056110552094886819,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926348/listingassets/3058756173360756939,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926350/listingassets/3023239331185017975,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926389/listingassets/3007955391913909086,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926387/listingassets/3054535654317705323,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926385/listingassets/3005461070713199053,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926383/listingassets/3063933068348004171,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926381/listingassets/3009657353354634987,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926379/listingassets/3034396891382020625,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926377/listingassets/3031963696148468270
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926137/listingassets/3067317570901971824,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926329/listingassets/3048498907096803761,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926301/listingassets/3059213123831825463,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926303/listingassets/3026355700673556972,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926305/listingassets/3038380872197988167,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926307/listingassets/3046150712988130203,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926309/listingassets/3058005249682198226,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926311/listingassets/3005816647976734655,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926313/listingassets/3032045192899731531,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926315/listingassets/3027158748925315292,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926317/listingassets/3064416621342903843,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926319/listingassets/3044296065046478162,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926321/listingassets/3019577909969399300,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926323/listingassets/3052600745242190338,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926325/listingassets/3025992486207858386,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926327/listingassets/3046412095414555707,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926359/listingassets/3006459032865057288,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926357/listingassets/3055448549626960796,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926355/listingassets/3016257634765873465,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926353/listingassets/3049484426534043915,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926330/listingassets/3052642096222354900,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926332/listingassets/3030024388479587073,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926334/listingassets/3047021009651540613,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926336/listingassets/3037981854617938836,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926338/listingassets/3004098204461651232,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926340/listingassets/3033194360248363051,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926342/listingassets/3010685353992830570,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926344/listingassets/3065145554878935458,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926346/listingassets/3051572822415721660,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926348/listingassets/3068037691910200906,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926350/listingassets/3055749956949892077,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926389/listingassets/3071801424467211488,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926387/listingassets/3010989751191702877,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926385/listingassets/3002817033876474794,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926383/listingassets/3049906874229825437,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926381/listingassets/3025843494584541558,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926379/listingassets/3045782419247149990,https://developer.microsoft.com/en-us/dashboard/apps/9N949BZL5KM2/submissions/1152921505700550202/listings/1152922700023926377/listingassets/3018284625711104442
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot11,110,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot12,111,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot13,112,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot14,113,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot15,114,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot16,115,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot17,116,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot18,117,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot19,118,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot20,119,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot21,120,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot22,121,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot23,122,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot24,123,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot25,124,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot26,125,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot27,126,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot28,127,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot29,128,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshot30,129,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption1,150,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption2,151,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption3,152,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption4,153,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption5,154,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption6,155,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption7,156,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption8,157,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption9,158,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption10,159,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption11,160,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption12,161,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption13,162,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption14,163,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption15,164,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption16,165,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption17,166,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption18,167,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption19,168,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption20,169,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption21,170,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption22,171,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption23,172,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption24,173,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption25,174,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption26,175,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption27,176,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption28,177,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption29,178,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption30,179,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot1,200,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot2,201,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot3,202,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot4,203,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot5,204,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot6,205,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot7,206,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot8,207,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot9,208,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot10,209,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot11,210,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot12,211,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot13,212,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot14,213,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot15,214,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot16,215,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot17,216,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot18,217,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot19,218,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot20,219,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot21,220,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot22,221,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot23,222,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot24,223,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot25,224,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot26,225,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot27,226,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot28,227,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot29,228,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshot30,229,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
