Field,ID,Type (Type),default,en,ar,be,bg,ca,cs,da,de,el,es,eu,fa,fr,gl,hr,hu,hy,id,it,ja,ka,ko,lt,nl,pl,pt,pt-br,ro,ru,sk,sq,sv,th,tr,uk,zh-cn,zh-hk,zh-tw
Feature19,718,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature20,719,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq1,800,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq2,801,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq3,802,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq4,803,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq5,804,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq6,805,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq7,806,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq8,807,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq9,808,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq10,809,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq11,810,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq1,850,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq2,851,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq3,852,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq4,853,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq5,854,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq6,855,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq7,856,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq8,857,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq9,858,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq10,859,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq11,860,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerm1,900,Text,,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo,MediaInfo
SearchTerm2,901,Text,,video,فيديو,відэа,видео,vídeo,video,video,Video,βίντεο,vídeo,bideoa,ویدیو,vidéo,vídeo,video,videó,տեսանյութ,video,video,video,ვიდეო,비디오,vaizdo įrašas,video,wideo,vídeo,vídeo,video,видео,video,video,video,วิดีโอ,video,відео,视频,影片,影片
SearchTerm3,902,Text,,metadata,بيانات التعريف,метаданыя,метаданни,metadades,metadata,metadata,Metadaten,μεταδεδομένα,metadatos,metadatuak,فراداده,métadonnées,metadatos,metapodaci,metaadatok,մետատվյալներ,metadata,metadati,metadata,მეტამონაცემები,메타데이터,metaduomenys,metadata,metadane,metadados,metadados,metadate,метаданные,metadáta,metadata,metadata,เมทาดาทา,üst veri,метадані,元数据,中繼資料,中繼資料
SearchTerm4,903,Text,,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4,mp4
SearchTerm5,904,Text,,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv,mkv
SearchTerm6,905,Text,,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm,webm
SearchTerm7,906,Text,,bitrate,معدل البت,бітрэйт,битрейт,bitrate,datový tok,bitrate,Bitrate,bitrate,tasa de bits,bitrate,نرخ بیت,débit binaire,taxa de bits,bitrate,bitráta,բիթրեյթ,bitrate,bitrate,bitrate,ბიტრეიტი,비트 전송률,bitrate,bitrate,bitrate,taxa de bits,bitrate,bitrate,битрейт,bitrate,bitrate,bitrate,บิตเรต,bit hızı,бітрейт,比特率,位元率,位元率
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle1,1020,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle2,1021,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle3,1022,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle4,1023,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle5,1024,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle6,1025,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle7,1026,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle8,1027,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle9,1028,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle10,1029,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle11,1030,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle12,1031,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle13,1032,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle14,1033,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle15,1034,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption1,1055,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption2,1056,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption3,1057,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption4,1058,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption5,1059,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption6,1060,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption7,1061,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption8,1062,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption9,1063,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption10,1064,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption11,1065,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption12,1066,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption13,1067,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption14,1068,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption15,1069,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription1,1070,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription2,1071,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription3,1072,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription4,1073,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription5,1074,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription6,1075,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription7,1076,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription8,1077,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription9,1078,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription10,1079,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription11,1080,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription12,1081,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription13,1082,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription14,1083,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription15,1084,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,